,id,label
0,apple_aCZwaWQ9QXBp,apple
1,apple_aCZwaWQ9QXBp3,apple
2,apple_aCZwaWQ9QXBp4,apple
3,apple_aiZwaWQ9QXBp,apple
4,apple_aiZwaWQ9QXBp11,apple
5,apple_aiZwaWQ9QXBp13,apple
6,apple_aiZwaWQ9QXBp14,apple
7,apple_aiZwaWQ9QXBp15,apple
8,apple_aiZwaWQ9QXBp17,apple
9,apple_aiZwaWQ9QXBp18,apple
10,apple_aiZwaWQ9QXBp19,apple
11,apple_aiZwaWQ9QXBp2,apple
12,apple_aiZwaWQ9QXBp20,apple
13,apple_aiZwaWQ9QXBp21,apple
14,apple_aiZwaWQ9QXBp22,apple
15,apple_aiZwaWQ9QXBp23,apple
16,apple_aiZwaWQ9QXBp24,apple
17,apple_aiZwaWQ9QXBp25,apple
18,apple_aiZwaWQ9QXBp26,apple
19,apple_aiZwaWQ9QXBp27,apple
20,apple_aiZwaWQ9QXBp28,apple
21,apple_aiZwaWQ9QXBp29,apple
22,apple_aiZwaWQ9QXBp3,apple
23,apple_aiZwaWQ9QXBp30,apple
24,apple_aiZwaWQ9QXBp31,apple
25,apple_aiZwaWQ9QXBp32,apple
26,apple_aiZwaWQ9QXBp33,apple
27,apple_aiZwaWQ9QXBp34,apple
28,apple_aiZwaWQ9QXBp35,apple
29,apple_aiZwaWQ9QXBp36,apple
30,apple_aiZwaWQ9QXBp37,apple
31,apple_aiZwaWQ9QXBp38,apple
32,apple_aiZwaWQ9QXBp39,apple
33,apple_aiZwaWQ9QXBp4,apple
34,apple_aiZwaWQ9QXBp40,apple
35,apple_aiZwaWQ9QXBp41,apple
36,apple_aiZwaWQ9QXBp42,apple
37,apple_aiZwaWQ9QXBp43,apple
38,apple_aiZwaWQ9QXBp44,apple
39,apple_aiZwaWQ9QXBp45,apple
40,apple_aiZwaWQ9QXBp46,apple
41,apple_aiZwaWQ9QXBp47,apple
42,apple_aiZwaWQ9QXBp48,apple
43,apple_aiZwaWQ9QXBp49,apple
44,apple_aiZwaWQ9QXBp5,apple
45,apple_aiZwaWQ9QXBp51,apple
46,apple_aiZwaWQ9QXBp52,apple
47,apple_aiZwaWQ9QXBp6,apple
48,apple_aiZwaWQ9QXBp7,apple
49,apple_aiZwaWQ9QXBp8,apple
50,apple_aSZwaWQ9QXBp,apple
51,apple_aSZwaWQ9QXBp2,apple
52,apple_aSZwaWQ9QXBp3,apple
53,apple_aSZwaWQ9QXBp4,apple
54,apple_aSZwaWQ9QXBp7,apple
55,apple_ayZwaWQ9QXBp,apple
56,apple_ayZwaWQ9QXBp2,apple
57,apple_ayZwaWQ9QXBp3,apple
58,apple_ayZwaWQ9QXBp4,apple
59,apple_ayZwaWQ9QXBp5,apple
60,apple_ayZwaWQ9QXBp6,apple
61,apple_ayZwaWQ9QXBp7,apple
62,apple_bCZwaWQ9QXBp,apple
63,apple_bCZwaWQ9QXBp2,apple
64,apple_bCZwaWQ9QXBp3,apple
65,apple_biZwaWQ9QXBp,apple
66,apple_biZwaWQ9QXBp2,apple
67,apple_biZwaWQ9QXBp3,apple
68,apple_biZwaWQ9QXBp4,apple
69,apple_bSZwaWQ9QXBp,apple
70,apple_bSZwaWQ9QXBp2,apple
71,apple_bSZwaWQ9QXBp3,apple
72,apple_byZwaWQ9QXBp,apple
73,apple_byZwaWQ9QXBp10,apple
74,apple_byZwaWQ9QXBp12,apple
75,apple_byZwaWQ9QXBp14,apple
76,apple_byZwaWQ9QXBp16,apple
77,apple_byZwaWQ9QXBp19,apple
78,apple_byZwaWQ9QXBp2,apple
79,apple_byZwaWQ9QXBp3,apple
80,apple_byZwaWQ9QXBp4,apple
81,apple_byZwaWQ9QXBp5,apple
82,apple_byZwaWQ9QXBp6,apple
83,apple_byZwaWQ9QXBp7,apple
84,apple_byZwaWQ9QXBp8,apple
85,apple_cCZwaWQ9QXBp,apple
86,apple_ciZwaWQ9QXBp,apple
87,apple_ciZwaWQ9QXBp2,apple
88,apple_ciZwaWQ9QXBp3,apple
